CODIGO	X	Y	BIO6	BIO16	disturb	SWIslope	prego	psemnat	ppovfor	dredhi
29TNF1894	518500.00310800000	4594500.00001000000	65.00000000000	480.00000000000	165.82500000000	0.00000000000	0.00000000000	61.85398839	57.5310399	0.00000000000
29TNF1895	518500.00310800000	4595500.00001000000	65.00000000000	478.00000000000	46.68990000000	0.00000000000	0.00000000000	33.55301166	13.42918709	0.00000000000
29TNF1896	518500.00310800000	4596500.00000000000	66.00000000000	475.00000000000	105.40300000000	0.00000000000	0.00000000000	16.87781151	3.757979135	22.95520000000
29TNF1897	518500.00310800000	4597500.00000000000	64.72730000000	480.09100000000	117.79500000000	0.00000000000	0.00000000000	8.900481613	0	20.79630000000
29TNF1898	518500.00310800000	4598500.00000000000	65.00000000000	479.00000000000	32.53820000000	0.00000000000	0.00000000000	0	0	3.65733000000
29TNF1899	518500.00310800000	4599500.00000000000	65.00000000000	481.00000000000	44.90810000000	0.00000000000	0.00000000000	0.963405231	0.963405231	0.70335100000
29TNF1992	519500.00310600000	4592500.00001000000	65.00000000000	477.00000000000	25.58580000000	0.00000000000	0.00000000000	0	0	0.94577800000
29TNF1993	519500.00310600000	4593500.00001000000	65.00000000000	478.00000000000	242.39000000000	0.00000000000	0.00000000000	0	0	0.14202800000
29TNF1994	519500.00310600000	4594500.00001000000	65.00000000000	478.00000000000	418.50900000000	0.00000000000	0.00000000000	12.91039339	0	0.00000000000
29TNF1995	519500.00310600000	4595500.00001000000	66.00000000000	475.00000000000	69.35490000000	0.00000000000	0.00000000000	20.88704806	7.312621987	7.19425000000
29TNF1996	519500.00310700000	4596500.00000000000	65.00000000000	477.00000000000	91.00490000000	0.00000000000	0.00000000000	4.751505073	0	13.29370000000
29TNF1997	519500.00310700000	4597500.00000000000	65.00000000000	479.00000000000	272.93500000000	0.00000000000	0.00000000000	0	0	0.03797120000
29TNF1998	519500.00310700000	4598500.00000000000	65.00000000000	480.00000000000	180.70700000000	0.00000000000	0.00000000000	7.128352376	11.79116631	0.25744600000
29TNF1999	519500.00310700000	4599500.00000000000	64.00000000000	484.00000000000	79.66410000000	0.00000000000	0.00000000000	20.26267387	17.55733491	1.26630000000
29TNF2091	520500.00310400000	4591500.00001000000	64.00000000000	477.00000000000	186.12300000000	0.00000000000	0.00000000000	13.79873087	14.83144093	0.72873900000
29TNF2092	520500.00310400000	4592500.00001000000	64.00000000000	477.00000000000	269.58300000000	0.00000000000	0.00000000000	2.869002192	0.856328148	0.01255730000
29TNF2093	520500.00310500000	4593500.00001000000	64.00000000000	479.00000000000	62.84970000000	0.00000000000	0.00000000000	4.309447996	4.309447996	0.00000000000
29TNF2094	520500.00310500000	4594500.00001000000	64.00000000000	479.00000000000	324.72400000000	0.00000000000	0.00000000000	21.57676288	20.33067996	0.13620000000
29TNF2095	520500.00310500000	4595500.00001000000	65.00000000000	479.00000000000	113.90900000000	0.00000000000	0.00000000000	18.97196637	3.362832049	17.54340000000
29TNF2096	520500.00310500000	4596500.00000000000	65.00000000000	480.00000000000	86.91460000000	0.00000000000	0.00000000000	0	0	1.84599000000
29TNF2097	520500.00310500000	4597500.00000000000	63.00000000000	486.00000000000	109.81900000000	0.00000000000	0.00000000000	6.178976698	4.195589056	0.50870600000
29TNF2098	520500.00310500000	4598500.00000000000	62.00000000000	493.00000000000	186.60100000000	0.43397300000	8.08840000000	0	0	0.38305700000
29TNF2099	520500.00310500000	4599500.00000000000	59.00000000000	511.00000000000	307.72300000000	1.41465000000	68.71840000000	69.70110503	10.65124833	0.81717400000
29TNF2192	521500.00310300000	4592500.00001000000	63.00000000000	479.00000000000	228.59000000000	0.00000000000	0.00000000000	0	0	0.16335400000
29TNF2193	521500.00310300000	4593500.00001000000	63.00000000000	480.00000000000	277.64900000000	0.00000000000	0.00000000000	4.605215866	0.345144315	0.00000000000
29TNF2194	521500.00310300000	4594500.00001000000	64.00000000000	479.00000000000	87.51240000000	0.00000000000	0.00000000000	0	0	0.40738400000
29TNF2195	521500.00310300000	4595500.00001000000	64.00000000000	480.00000000000	208.17200000000	0.00000000000	0.00000000000	31.62608256	29.75469842	0.76215700000
29TNF2196	521500.00310300000	4596500.00000000000	64.00000000000	480.00000000000	102.44300000000	0.09803910000	0.00000000000	0	6.754671517	13.56670000000
29TNF2197	521500.00310300000	4597500.00000000000	62.00000000000	487.00000000000	228.03700000000	0.00000000000	0.00000000000	68.69959898	48.77210766	0.97213300000
29TNF2198	521500.00310300000	4598500.00000000000	62.00000000000	490.00000000000	38.62370000000	0.09803910000	7.29411000000	11.36319339	14.93766917	0.85354200000
29TNF2199	521500.00310400000	4599500.00000000000	60.00000000000	502.00000000000	96.58020000000	1.08642000000	58.73890000000	51.76370901	40.23526745	1.35661000000
29TNF2291	522500.00310100000	4591500.00001000000	63.00000000000	481.00000000000	342.63600000000	0.00000000000	0.00000000000	83.1125688	43.1193032	0.25233400000
29TNF2292	522500.00310100000	4592500.00001000000	64.00000000000	477.00000000000	223.48300000000	0.00000000000	0.00000000000	32.9842242	7.200400965	0.97203500000
29TNF2293	522500.00310100000	4593500.00001000000	64.00000000000	474.00000000000	191.99200000000	0.00000000000	0.00000000000	12.61688077	5.662513566	1.14644000000
29TNF2294	522500.00310100000	4594500.00001000000	64.00000000000	476.00000000000	224.53500000000	0.00000000000	0.00000000000	0	0	1.38998000000
29TNF2295	522500.00310200000	4595500.00001000000	64.00000000000	477.00000000000	345.94900000000	0.00000000000	0.00000000000	2.511631037	2.511631037	12.80910000000
