CODIGO	X	Y	BIO6	BIO19	disthi	SWIslope	perc_a	SWIsoils	ppovfor	pagric
29TNF1894	518500.00310800000	4594500.00001000000	63.00000000000	497.00000000000	14317.80000000000	0.00000000000	0.00000000000	0.19851500000	74.94780000000	7.70585000000
29TNF1895	518500.00310800000	4595500.00001000000	63.00000000000	496.00000000000	14142.10000000000	0.00000000000	0.00000000000	0.50057100000	48.29340000000	7.71725000000
29TNF1896	518500.00310800000	4596500.00000000000	64.00000000000	493.00000000000	14035.70000000000	0.00000000000	0.00000000000	1.07751000000	19.52140000000	6.99805000000
29TNF1897	518500.00310800000	4597500.00000000000	62.69230000000	498.00000000000	14000.00000000000	0.00000000000	0.00000000000	1.09083000000	0.00000000000	10.21740000000
29TNF1898	518500.00310800000	4598500.00000000000	63.00000000000	497.00000000000	14035.70000000000	0.00000000000	0.00000000000	0.74241700000	0.00000000000	28.83360000000
29TNF1899	518500.00310800000	4599500.00000000000	63.00000000000	499.00000000000	14142.10000000000	0.00000000000	0.00000000000	0.72410800000	5.22829000000	57.24000000000
29TNF1992	519500.00310600000	4592500.00001000000	62.00000000000	492.00000000000	13928.40000000000	0.00000000000	0.00000000000	1.03932000000	8.53228000000	39.02620000000
29TNF1993	519500.00310600000	4593500.00001000000	62.00000000000	494.00000000000	13601.50000000000	0.00000000000	0.00000000000	0.69134600000	7.35009000000	76.43190000000
29TNF1994	519500.00310600000	4594500.00001000000	63.00000000000	494.00000000000	13341.70000000000	0.00000000000	0.00000000000	0.36692500000	46.44560000000	34.22530000000
29TNF1995	519500.00310600000	4595500.00001000000	63.00000000000	493.00000000000	13152.90000000000	0.00000000000	0.00000000000	1.36315000000	11.41380000000	33.93640000000
29TNF1996	519500.00310700000	4596500.00000000000	63.00000000000	495.00000000000	13038.40000000000	0.00000000000	0.00000000000	0.53418300000	0.00000000000	54.35130000000
29TNF1997	519500.00310700000	4597500.00000000000	62.00000000000	498.00000000000	13000.00000000000	0.00000000000	0.00000000000	0.00000000000	8.44460000000	80.40860000000
29TNF1998	519500.00310700000	4598500.00000000000	62.00000000000	504.00000000000	13038.40000000000	0.00000000000	0.00000000000	0.00000000000	17.87420000000	66.29080000000
29TNF1999	519500.00310700000	4599500.00000000000	60.00000000000	513.00000000000	13152.90000000000	0.00000000000	0.00000000000	0.00000000000	26.67870000000	44.85120000000
29TNF2091	520500.00310400000	4591500.00001000000	62.00000000000	494.00000000000	13416.40000000000	0.00000000000	0.00000000000	0.45588600000	18.98130000000	70.40390000000
29TNF2092	520500.00310400000	4592500.00001000000	62.00000000000	492.00000000000	13000.00000000000	0.00000000000	0.00000000000	0.00000000000	2.06203000000	86.43520000000
29TNF2093	520500.00310500000	4593500.00001000000	62.00000000000	495.00000000000	12649.10000000000	0.00000000000	0.00000000000	0.00000000000	2.18737000000	76.05930000000
29TNF2094	520500.00310500000	4594500.00001000000	62.00000000000	495.00000000000	12369.30000000000	0.00000000000	0.00000000000	0.09803910000	33.38690000000	54.23060000000
29TNF2095	520500.00310500000	4595500.00001000000	63.00000000000	496.00000000000	12165.50000000000	0.00000000000	0.00000000000	1.08919000000	23.43960000000	24.03060000000
29TNF2096	520500.00310500000	4596500.00000000000	63.00000000000	497.00000000000	12041.60000000000	0.00000000000	0.00000000000	0.05600150000	21.04120000000	37.66040000000
29TNF2097	520500.00310500000	4597500.00000000000	61.00000000000	504.00000000000	12000.00000000000	0.00000000000	0.00000000000	0.00000000000	36.98570000000	33.18850000000
29TNF2098	520500.00310500000	4598500.00000000000	60.00000000000	511.00000000000	12041.60000000000	0.43397300000	0.00000000000	0.27876900000	31.93640000000	13.92560000000
29TNF2099	520500.00310500000	4599500.00000000000	57.00000000000	528.00000000000	12165.50000000000	1.41465000000	0.00000000000	0.61086400000	66.28840000000	2.40900000000
29TNF2192	521500.00310300000	4592500.00001000000	61.00000000000	496.00000000000	12083.00000000000	0.00000000000	0.00000000000	0.00000000000	18.56160000000	40.83880000000
29TNF2193	521500.00310300000	4593500.00001000000	61.00000000000	496.00000000000	11704.70000000000	0.00000000000	0.00000000000	0.00000000000	14.57060000000	63.67970000000
29TNF2194	521500.00310300000	4594500.00001000000	62.00000000000	496.00000000000	11401.80000000000	0.00000000000	5.73774000000	0.22696800000	0.00000000000	68.21470000000
29TNF2195	521500.00310300000	4595500.00001000000	62.00000000000	496.00000000000	11180.30000000000	0.00000000000	20.77310000000	1.08513000000	33.31830000000	47.67090000000
29TNF2196	521500.00310300000	4596500.00000000000	62.00000000000	497.00000000000	11045.40000000000	0.09803910000	19.75770000000	1.09710000000	19.66690000000	28.16140000000
29TNF2197	521500.00310300000	4597500.00000000000	60.00000000000	505.00000000000	11000.00000000000	0.00000000000	0.00000000000	0.00000000000	53.98730000000	33.16410000000
29TNF2198	521500.00310300000	4598500.00000000000	60.00000000000	508.00000000000	11045.40000000000	0.09803910000	0.00000000000	0.25363900000	12.42560000000	52.82470000000
29TNF2199	521500.00310400000	4599500.00000000000	58.00000000000	519.00000000000	11180.30000000000	1.08642000000	0.00000000000	0.94977000000	45.47840000000	32.91720000000
29TNF2291	522500.00310100000	4591500.00001000000	60.00000000000	497.00000000000	11661.90000000000	0.00000000000	0.00000000000	0.00000000000	67.97380000000	15.74180000000
29TNF2292	522500.00310100000	4592500.00001000000	61.00000000000	495.00000000000	11180.30000000000	0.00000000000	0.00000000000	0.00000000000	36.09240000000	39.97210000000
