CODIGO	X	Y	BIO6	BIO16	disturb	SWIslope	prego	psemnat	ppovfor	dredhi	rusacu
29TNG5630	556500.0031	4630500	53	454	250.273	0.500402	100	43.6355	35.6684	28.145	1
29TNG5643	556500.0031	4643500	12	630	3584.96	1.93438	100	70.1489	0	1.9088	0
29TNG5729	557500.003	4629500	45	480	386.316	1.25842	100	67.8387	28.2111	1.92577	1
29TNG5730	557500.003	4630500	49	462	192.735	1.10974	100	47.1248	16.6767	11.9992	1
29TNG5743	557500.0031	4643500	2	657	3005.56	1.78133	56.8523	78.8315	0	1.53879	1
29TNG5830	558500.003	4630500	47	472	345.306	1.41074	100	84.2698	11.4589	1.24222	1
29TNG5930	559500.003	4630500	45	475	217.185	1.51604	100	40.4777	14.4288	1.10166	1
29TNG5932	559500.003	4632500	46	470	408.492	1.31499	96.9209	84.766	24.9137	5.05339	1
29TNG6020	560500.003	4620500	42	479	174.188	1.46654	100	9.64543	7.47829	2.52723	1
29TNG6030	560500.003	4630500	44	476	647.726	1.7204	100	67.0179	1.02566	2.00724	1
29TNG6034	560500.003	4634500	49	452	204.764	1.60346	82.4532	25.0638	6.02207	5.27371	1
29TNG6035	560500.003	4635500	40	490	306.188	1.49363	99.6855	41.2768	13.4839	2.00162	1
29TNG6124	561500.003	4624500	20	593	475.706	1.16134	99.7196	70.9397	0	2.82013	0
29TNG6125	561500.003	4625500	21	587	584.751	1.36177	84.9053	82.4009	0	1.27907	1
29TNG6133	561500.003	4633500	40	489	243.343	1.22404	60.4798	59.7687	3.99239	1.56922	1
29TNG6134	561500.003	4634500	45	467	546.603	1.86609	93.986	64.4678	19.6281	4.36693	1
29TNG6146	561500.003	4646500	19	593	421.324	1.59285	47.7761	57.8428	15.7672	1.79256	0
29TNG6147	561500.003	4647500	16	605	321.03	1.32489	19.9974	69.3347	13.4847	1.26328	0
29TNG6148	561500.003	4648500	10	622	1091.07	1.29506	5.90799	87.9357	6.6033	1.72556	0
29TNG6149	561500.003	4649500	11	620	715.177	0.896921	69.8103	75.3886	8.49894	1.11433	0
29TNG6249	562500.003	4649500	13	611	851.189	1.49165	10.7237	89.3444	0	2.11962	0
29TNG6255	562500.003	4655500	24	567	372.991	1.41726	94.6037	66.6135	1.11889	2.54731	1
29TNG6256	562500.003	4656500	22	578	220.361	0.986264	20.5131	31.1571	0.0110753	1.66089	0
29TNG6330	563500.003	4630500	25	562	1566.17	1.32863	100	84.5766	1.59949	2.04109	1
