CODIGO	X	Y	BIO6	BIO19	disthi	SWIslope	perc_a	SWIsoils	ppovfor	pagric	acadea
29TNG4113	541500.00307300000	4613499.99997999000	46	534	8944.27	1.03346	0	0.785696	33.2697	41.6275	0
29TNG4142	541500.00307600000	4642499.99992999000	28	624	8544	1.32363	0	0	25.6732	4.0432	0
29TNG4143	541500.00307600000	4643499.99992999000	34	608	8246.21	1.46529	0	0.68593	1.61948	35.3782	0
29TNG4144	541500.00307600000	4644499.99992999000	28	624	8062.26	1.39903	0	0.680292	11.7627	22.3827	0
29TNG4347	543500.00307300000	4647499.99992000000	49	553	6324.56	0.888512	0	1.01446	9.32571	32.2179	0
29TNG4348	543500.00307300000	4648499.99992000000	50	536	6708.2	1.29252	0	1.00475	18.1847	34.4689	0
29TNG4401	544500.00306699900	4601500.00000000000	53	475	4123.11	0.592953	0.0413	0.404963	15.0133	59.1353	0
29TNG4407	544500.00306699900	4607499.99999000000	54	475	2236.07	0	4.4057	0.253639	17.4853	46.1011	0
29TNG4614	546500.00306500000	4614499.99997999000	52	484	9055.38	0.970937	1.66981	0.62603	28.1979	36.6831	1
29TNG4757	547500.00306799900	4657499.99990999000	60	466	12165.5	0.198515	0	0.43967	40.9197	47.7085	1
29TNG4932	549500.00306200000	4632499.99995000000	51	487	1414.21	1.2603	0	0.692947	23.9175	34.8548	1
29TNG4940	549500.00306300000	4640499.99992999000	33	577	5000	1.64849	0	0.253639	0.317729	4.05456	0
29TNG5012	550500.00305800000	4612499.99997999000	53	463	8602.33	0.676859	0	0	48.0905	16.804	1
29TNG5350	553500.00305699900	4650499.99992000000	39	534	6403.12	0.751701	0	0.500402	14.3435	63.6369	0
29TNG5415	554500.00305199900	4615499.99997999000	41	506	13000	1.30964	0	0.278769	40.5578	5.05688	0
29TNG5601	556500.00304700000	4601500.00000000000	36	524	11704.7	0.81639	0	0.610864	26.7475	52.2829	1
29TNG5660	556500.00305299900	4660499.99990000000	53	443	16552.9	0.584944	0	0.641035	18.4737	53.4666	1
29TNG5700	557500.00304600000	4600500.00000000000	36	522	13000	0.820722	0	0.673012	37.3366	22.5173	0
29TNG5750	557500.00305099900	4650499.99992000000	10	630	9433.98	1.33648	0	0.404963	0	6.50905	0
29TNG5847	558500.00304900000	4647499.99992000000	13	622	9219.54	1.39732	0	0.562335	0	3.70906	0
29TNG5850	558500.00304900000	4650499.99992000000	11	626	10295.6	0.919025	0	0.0560015	1.84955	20.7643	0
29TNG5917	559500.00304400000	4617499.99997000000	31	547	8246.21	1.19339	0	0	0	9.91811	0
29TNG5949	559500.00304700000	4649499.99992000000	11	624	10770.3	1.27319	0	0	0	29.8175	0
29TNG6020	560500.00304300000	4620499.99997000000	42	472	7211.1	1.46654	0	0	7.47829	33.9099	0
29TNG6047	560500.00304600000	4647499.99992000000	6	637	11180.3	1.16112	0	0.325083	3.2179	0	0
29TNG6050	560500.00304600000	4650499.99992000000	6	636	12083	0.796118	0	0	13.5265	4.40184	0
29TNG6129	561500.00304200000	4629499.99995000000	33	525	4123.11	1.8799	0	0	3.38199	2.13405	0
29TNG6149	561500.00304400000	4649499.99992000000	11	618	12649.1	0.896921	0	0.610864	8.49894	23.9468	0
29TNG6152	561500.00304500000	4652499.99992000000	10	619	13892.4	1.19094	0	0.943749	8.16248	19.0753	0
29TNG6159	561500.00304500000	4659499.99990000000	35	500	18439.1	1.28365	0	0.455886	41.5062	18.6269	1
29TNG6350	563500.00304099900	4650499.99992000000	9	620	14866.1	1.35138	0	0.302538	0	0	0
29TNG6355	563500.00304200000	4655499.99990999000	20	579	17204.7	1.32376	0	0.526908	0	8.31124	0
29TNG6455	564500.00303999900	4655499.99990999000	16	591	18027.8	0.898212	0	0	0	0	0
29TNG6535	565500.00303599900	4635499.99993999000	38	473	7615.77	1.78818	0	0.692347	4.05909	23.3113	1
29TNG6631	566500.00303400000	4631499.99995000000	6	631	5830.95	1.28277	0	0.455886	3.04316	0	0
29TNG6654	566500.00303699900	4654499.99990999000	16	583	19235.4	1.3605	0	0.562335	22.0245	0	0
29TNG6715	567500.00303100000	4615499.99997999000	45	440	0	1.66457	0	1.08572	18.3471	21.7958	1
29TNG7055	570500.00303000000	4655499.99990999000	7	604	23259.4	1.44602	0	0	0	13.7766	0
29TNG7254	572500.00302700000	4654499.99990999000	1	617	24698.2	0.760698	0	0	7.1313	9.67083	0
29TNG7421	574500.00301999900	4621499.99997000000	4	623	6708.2	2.09842	0	0	0	0	0
29TNG7424	574500.00302099900	4624499.99995999000	1	631	4242.64	1.56106	0	0	0	0	0
29TNG7628	576500.00301800000	4628499.99995999000	-3	642	5099.02	2.20961	0	0	0	0	0
